Category,Name,Image Path,Description,Style
Bookcases-shelving-units,Shelving-unit,database/images\Bookcases-&-shelving-units---------Shelving-unit----------89x30x179-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Knob,database/images\Bookcases-&-shelving-units---------Knob----------21-mm.jpg,"Knobs and handles are like icing on the cake. Enhance the style you like, refresh the look of doors and drawers, coordinate with the rest of your home – a simple change can make a big difference.",Scandinavian
Bookcases-shelving-units,Frame-with-mesh-basketscastors,database/images\Bookcases-&-shelving-units---------Frame-with-mesh-basketscastors----------25x51x73-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Storage-combination-with-doors,database/images\Bookcases-&-shelving-units---------Storage-combination-with-doors----------180x42x112-cm.jpg,Go ahead and put things aside for a while! A sideboard combination gives you plenty of space to store things and a surface to create an attractive display - or to unload serving dishes while you eat.,Modern
Bookcases-shelving-units,Bookcase,database/images\Bookcases-&-shelving-units---------Bookcase----------160x30x202-cm.jpg,"BILLY bookcase is a beloved icon that, thanks to its versatility, can be used in many ways at home. With glass doors you can display your favourite items while also protecting them from dust.",Modern
Bookcases-shelving-units,Bookcase-w-hght-ext-utpnlglss-drs,database/images\Bookcases-&-shelving-units---------Bookcase-w-hght-ext-utpnlglss-drs----------40x30x237-cm.jpg,BILLY is the choice of booklovers since 1979 that never goes out of style. Display your favourite items behind the glass and hide the clutter behind the panel door.,Modern
Bookcases-shelving-units,Storage-combination-w-doorsdrawers,database/images\Bookcases-&-shelving-units---------Storage-combination-w-doorsdrawers----------270x197-cm.jpg,"Sustainable beauty from sustainably-sourced solid pine, a natural and renewable material that gets more beautiful with each passing year. Like it? Combine with other products in the HEMNES series.",Bohemian
Bookcases-shelving-units,Bookcase,database/images\Bookcases-&-shelving-units---------Bookcase----------200x28x237-cm.jpg,BILLY bookcase puts all your precious books and cherished items on display. The height extension takes your storage to a whole new level and the adjustable shelving lets you tailor the solution perfectly.,Modern
Bookcases-shelving-units,Frame,database/images\Bookcases-&-shelving-units---------Frame----------120x40x38-cm.jpg,"A simple frame can be the start of something great. Place on the floor or wall-mount with suspension rails. Add units, organise with shelves or put on legs. The possibilities for good storage are endless.",Scandinavian
Bookcases-shelving-units,Cabinet-w-2-doors-and-1-shelf,database/images\Bookcases-&-shelving-units---------Cabinet-w-2-doors-and-1-shelf----------70x35x70-cm.jpg,"Need one or several cabinets? Closed or open storage? You decide. EKET makes it easy to change your mind, and adjustable shelves adapt the storage space to your needs.",Modern
Bookcases-shelving-units,Adjustable-clothes-rail,database/images\Bookcases-&-shelving-units---------Adjustable-clothes-rail----------46-82-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Mesh-basket,database/images\Bookcases-&-shelving-units---------Mesh-basket----------50x51x15-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Shelving-unit-with-laptop-table,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-laptop-table----------202x36x175-cm.jpg,Light and airy storage for both work and your hobby things. This combination with a work surface and laptop storage can transform any small area into a highly functional workspace.,Scandinavian
Bookcases-shelving-units,Cabinet-with-door,database/images\Bookcases-&-shelving-units---------Cabinet-with-door----------35x35x35-cm.jpg,"This clever little EKET cabinet is always ready to lend a hand, whether it’s for storing, organising or emptying your pockets. A slight push is all you need to open the door and tuck your things away.",Scandinavian
Bookcases-shelving-units,Shelving-unit,database/images\Bookcases-&-shelving-units---------Shelving-unit----------89x30x124-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Insert-with-door,database/images\Bookcases-&-shelving-units---------Insert-with-door----------33x33-cm.jpg,"Standing or lying, against the wall or to divide the room – the KALLAX series is eager to please and will adapt to your taste, space, budget and needs. Fine tune with drawers, shelves, boxes and inserts.",Modern
Bookcases-shelving-units,3-sectionsshelves,database/images\Bookcases-&-shelving-units---------3-sectionsshelves----------259x30x226-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Cabinet-unit,database/images\Bookcases-&-shelving-units---------Cabinet-unit----------60x40x202-cm.jpg,Open shelving for many purposes - as a bookshelf or why not as a display case for your favourite things. Use it on its own or adapt this ready-made BESTÅ combination to suit your needs and taste using the BESTÅ planning tool.,Modern
Bookcases-shelving-units,Drill-template,database/images\Bookcases-&-shelving-units---------Drill-template.jpg,Get it right the first time. This handy template helps you align and mark the position of the drill holes for precision mounting of knobs and handles.,Modern
Bookcases-shelving-units,Framesclothes-railsshelving-units,database/images\Bookcases-&-shelving-units---------Framesclothes-railsshelving-units----------148x51x173-cm.jpg,"It can be difficult to keep things neat and tidy. JONAXEL storage system lets you utilise the spaces you have in smarter ways. You can build a combination that fits exactly your needs and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Frame,database/images\Bookcases-&-shelving-units---------Frame----------60x20x38-cm.jpg,"A simple frame can be the start of something great. Place on the floor or wall-mount with a suspension rail. Add units, organise with shelves or put on legs. The possibilities for good storage are endless.",Scandinavian
Bookcases-shelving-units,Cross-brace,database/images\Bookcases-&-shelving-units---------Cross-brace----------100-cm.jpg,Cross-brace helps keep the shelf upright and stable.,Modern
Bookcases-shelving-units,Insert-with-2-drawers,database/images\Bookcases-&-shelving-units---------Insert-with-2-drawers----------33x33-cm.jpg,"Standing or lying, against the wall or to divide the room – the KALLAX series is eager to please and will adapt to your taste, space, budget and needs. Fine tune with drawers, shelves, boxes and inserts.",Modern
Bookcases-shelving-units,Frame-with-mesh-baskets,database/images\Bookcases-&-shelving-units---------Frame-with-mesh-baskets----------50x51x104-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,TV-bench,database/images\Bookcases-&-shelving-units---------TV-bench----------120x40x48-cm.jpg,"All you need to keep the area around the TV tidy. You get lots of storage space and relief from unruly cables. Choose a ready combination or create your own. This is just one of many, many possibilities.",Modern
Bookcases-shelving-units,Shelving-unit-with-2-cabinets,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-2-cabinets----------171x37x161-cm.jpg,"A large storage solution with plenty of space for garden tools and plants pots on open shelves and in cabinets. Behind the high cabinet’s doors, there is also a clothes rail where you can hang cushions.",Modern
Bookcases-shelving-units,Supporting-leg,database/images\Bookcases-&-shelving-units---------Supporting-leg----------10-cm.jpg,"Heavy things? With supporting legs, you will get an even more stable storage solution that handles almost everything. And they are almost invisible too (as long as you don't lie flat on the floor).",Modern
Bookcases-shelving-units,Mesh-basket,database/images\Bookcases-&-shelving-units---------Mesh-basket----------25x51x15-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Knob,database/images\Bookcases-&-shelving-units---------Knob----------21-mm.jpg,"Knobs and handles are like icing on the cake – that small detail that makes a big difference. The BAGGANÄS series offers a timeless, clean look that complements both modern and traditional style homes.",Traditional
Bookcases-shelving-units,Leather-handle,database/images\Bookcases-&-shelving-units---------Leather-handle----------65-mm.jpg,"Knobs and handles are like icing on the cake – that small detail that makes a big difference. ÖSTERNÄS leather handles add a warm, personal touch to your home giving it character and a natural look.",Scandinavian
Bookcases-shelving-units,Shelf,database/images\Bookcases-&-shelving-units---------Shelf----------83x50-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Work-bench,database/images\Bookcases-&-shelving-units---------Work-bench----------110x55-cm.jpg,"Heavy-duty, our way – a sturdy storage system that withstands moisture, dirt and heavy loads. Also easy to assemble, complete as needed and fits everywhere thanks to its clean design.",Scandinavian
Bookcases-shelving-units,Shelving-unit-with-cabinet,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-cabinet----------80x37x161-cm.jpg,"A practical storage solution with open shelves for garden tools and plant pots. It also has a spacious cabinet where you can store cushions or other things that you want to protect from sun, rain and dirt.",Modern
Bookcases-shelving-units,Insert-with-1-shelf,database/images\Bookcases-&-shelving-units---------Insert-with-1-shelf----------33x33-cm.jpg,Customise your KALLAX shelf unit according to your needs and use your space in the smartest way. You can use this insert either as an extra shelf or as a practical vertical divider.,Modern
Bookcases-shelving-units,Frame-with-wire-baskets,database/images\Bookcases-&-shelving-units---------Frame-with-wire-baskets----------25x51x70-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Frame-with-mesh-basketscastors,database/images\Bookcases-&-shelving-units---------Frame-with-mesh-basketscastors----------50x51x73-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Framewire-basketsclothes-rails,database/images\Bookcases-&-shelving-units---------Framewire-basketsclothes-rails----------142-178x51x139-cm.jpg,"It can be difficult to keep things neat and tidy. JONAXEL storage system lets you utilise the spaces you have in smarter ways. You can build a combination that fits exactly your needs and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Glass-shelf,database/images\Bookcases-&-shelving-units---------Glass-shelf----------56x36-cm.jpg,"Make your things float in the air. Well, almost. With tempered glass shelves you get a storage solution that’s both airy and organised at the same time.",Modern
Bookcases-shelving-units,1-sectionshelves,database/images\Bookcases-&-shelving-units---------1-sectionshelves----------89x50x179-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Knob,database/images\Bookcases-&-shelving-units---------Knob----------20-mm.jpg,"Knobs and handles are like icing on the cake – that small detail that makes a big difference. The BAGGANÄS series offers a timeless, clean look that complements both modern and traditional style homes.",Traditional
Bookcases-shelving-units,Shelving-unit-with-plinth,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-plinth----------61x37x212-cm.jpg,"Made of solid wood with crafted details and a brushed surface, HAVSTA shelving unit adds a genuine and timeless feel to your room. Choose to use one unit or combine several to create a larger solution.",Traditional
Bookcases-shelving-units,Cabinet-with-2-drawers,database/images\Bookcases-&-shelving-units---------Cabinet-with-2-drawers----------70x35x35-cm.jpg,"Build great storage with small means. Put the cabinets on the floor or mount to a wall with the suspension rails to free up floor space. And if your needs change, you can easily change your EKET solution.",Modern
Bookcases-shelving-units,Cabinet-combination-with-feet,database/images\Bookcases-&-shelving-units---------Cabinet-combination-with-feet----------105x35x72-cm.jpg,"With the EKET series you can build your storage big, small, colourful or discreet to either display or hide your things. And if your space and needs change, you can easily change your EKET solution too.",Modern
Bookcases-shelving-units,Frame-with-mesh-baskets,database/images\Bookcases-&-shelving-units---------Frame-with-mesh-baskets----------50x51x70-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Knob,database/images\Bookcases-&-shelving-units---------Knob----------27-mm.jpg,Knobs and handles are like icing on the cake – that small detail that makes a big difference. ENERYDA series offers different forms and colours - all with a traditional character and long-lasting design.,Modern
Bookcases-shelving-units,Connection-fittings,database/images\Bookcases-&-shelving-units---------Connection-fittings.jpg,"Small things that make a big difference. When your storage solution comprises of several units, these connection fittings ensure that the units stay firmly connected – giving a solid overall impression.",Modern
Bookcases-shelving-units,Shelving-unit-with-6-inserts,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-6-inserts----------112x147-cm.jpg,"Standing or lying – the KALLAX series is eager to please and will adapt to your taste, space, budget and needs. Fine tune with drawers, shelves, boxes and inserts.",Modern
Bookcases-shelving-units,Shelving-unit-inoutdoor,database/images\Bookcases-&-shelving-units---------Shelving-unit-inoutdoor----------80x81-cm.jpg,"Flexible, durable shelving unit that is great in bathrooms, hallways or on balconies – with space for everything from plant pots and tools to shampoos and shoes. Perfect to combine with KOLBJÖRN cabinet.",Modern
Bookcases-shelving-units,Frame-with-wire-baskets,database/images\Bookcases-&-shelving-units---------Frame-with-wire-baskets----------50x51x104-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Shelving-unit-with-4-inserts,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-4-inserts----------147x147-cm.jpg,Place this generous KALLAX combination against the wall or place it to serve as a room divider. The handy inserts hide things that tend to get cluttered and are nicely finished on both sides.,Modern
Bookcases-shelving-units,Shelf,database/images\Bookcases-&-shelving-units---------Shelf----------42x30-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Frame-with-clothes-rail,database/images\Bookcases-&-shelving-units---------Frame-with-clothes-rail----------50x51x104-cm.jpg,"JONAXEL storage system lets you use the spaces you have in smarter ways. You can build a combination that fits your needs perfectly and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,TV-bench,database/images\Bookcases-&-shelving-units---------TV-bench----------180x41x49-cm.jpg,BESTÅ TV bench provides a home for your TV and storage for the gadgets that belong to it. With spacious drawers there’s plenty of space to keep TV games and accessories organised. And it looks tidy too!,Modern
Bookcases-shelving-units,Post-171,database/images\Bookcases-&-shelving-units---------Post----------171-cm-2-pack.jpg,"HEJNE storage system is sturdy and strong enough for even the heaviest loads in your garage, basement or attic. By adding posts and shelves you increase the storage possibilities.",Modern
Bookcases-shelving-units,Leg,database/images\Bookcases-&-shelving-units---------Leg.jpg,"Small things that make a big difference. Add some height and extra stability to your storage solution with these adjustable legs that keep your things in place, even if you have a slightly uneven floor.",Scandinavian
Bookcases-shelving-units,Knob,database/images\Bookcases-&-shelving-units---------Knob----------20-mm.jpg,Knobs and handles are like icing on the cake – that small detail that makes a big difference. ENERYDA series offers different forms and colours - all with a traditional character and long-lasting design.,Modern
Bookcases-shelving-units,TV-bench,database/images\Bookcases-&-shelving-units---------TV-bench----------120x40x38-cm.jpg,"A simple frame can be the start of something great. Place this white TV bench on the floor or wall-mount it. Add units, organise with shelves, drawers or doors. The possibilities are endless.",Scandinavian
Bookcases-shelving-units,Shelving-unit,database/images\Bookcases-&-shelving-units---------Shelving-unit----------65x40x110-cm.jpg,"This storage system is our interpretation of heavy metal – sturdy, durable and flexible. Also easy to assemble, complete as needed and is robust enough to withstand moisture, dirt and heavy loads.",Modern
Bookcases-shelving-units,Extra-shelf,database/images\Bookcases-&-shelving-units---------Extra-shelf----------36x26-cm.jpg,"It is estimated that every five seconds, one BILLY bookcase is sold somewhere in the world. Pretty impressive considering we launched BILLY in 1979. It’s the booklovers choice that never goes out of style.",Modern
Bookcases-shelving-units,Frame,database/images\Bookcases-&-shelving-units---------Frame----------60x20x64-cm.jpg,"A simple frame can be the start of something great. Place on the floor or wall-mount with a suspension rail. Add units, organise with shelves or put on legs. The possibilities for good storage are endless.",Scandinavian
Bookcases-shelving-units,Handle,database/images\Bookcases-&-shelving-units---------Handle----------320-mm.jpg,Knobs and handles are like icing on the cake – that small detail that makes a big difference. Clean and discreet BILLSBRO handles blend right in and enhance the modern expression of your home.,Scandinavian
Bookcases-shelving-units,4-sectionsshelves,database/images\Bookcases-&-shelving-units---------4-sectionsshelves----------344x30x226-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Storage-combination,database/images\Bookcases-&-shelving-units---------Storage-combination----------200x36x175-cm.jpg,The straightforward design and glass shelves allow your beloved objects to stand out. The top/bottom panels are black-brown on one side and black on the other so you can pick the expression that suits you.,Modern
Bookcases-shelving-units,Handle,database/images\Bookcases-&-shelving-units---------Handle----------720-mm.jpg,Knobs and handles are like icing on the cake – that small detail that makes a big difference. Clean and discreet BILLSBRO handles blend right in and enhance the modern expression of your home.,Scandinavian
Bookcases-shelving-units,Bookcase-with-glass-door,database/images\Bookcases-&-shelving-units---------Bookcase-with-glass-door----------40x30x237-cm.jpg,"BILLY bookcase is a beloved icon that, thanks to its versatility, can be used in many ways. This solution utilises the ceiling height, while glass doors display your finest items and keep them dust-free.",Modern
Bookcases-shelving-units,Foot-adjustable,database/images\Bookcases-&-shelving-units---------Foot-adjustable.jpg,"Small things that make a big difference. When your storage solution needs extra stability, these adjustable feet keep your things in place, even if you have a slightly uneven floor.",Scandinavian
Bookcases-shelving-units,Wall-mounted-cabinet-combination,database/images\Bookcases-&-shelving-units---------Wall-mounted-cabinet-combination----------175x35x210-cm.jpg,Dress your wall with EKET! Create a classic storage solution with just a few cabinets or combine as many as you like in a fun and unexpected way to fit your needs and make your space more personal.,Traditional
Bookcases-shelving-units,Wall-mounted-shelving-unit,database/images\Bookcases-&-shelving-units---------Wall-mounted-shelving-unit----------35x35x35-cm.jpg,"This clever EKET cabinet is always ready to lend a hand, whether it’s for storing, organising or emptying your pockets. Go for a colour that pops out or keep it discreet.",Modern
Bookcases-shelving-units,Post,database/images\Bookcases-&-shelving-units---------Post----------190-cm.jpg,"Heavy-duty, our way – a sturdy storage system that withstands moisture, dirt and heavy loads. Also easy to assemble, complete as needed and fits everywhere thanks to its clean design.",Scandinavian
Bookcases-shelving-units,TV-bench,database/images\Bookcases-&-shelving-units---------TV-bench----------120x40x64-cm.jpg,"A simple frame can be the start of something great. Place this TV bench on the floor or put it on legs. Add units, organise with shelves, drawers or doors. The possibilities are endless.",Scandinavian
Bookcases-shelving-units,Drawer-runner-soft-closing,database/images\Bookcases-&-shelving-units---------Drawer-runner-soft-closing.jpg,"Isn’t it great when it feels like the drawers are floating on clouds? These runners are also soft-closing. Smart, right?",Modern
Bookcases-shelving-units,2-legs-and-2-castors,database/images\Bookcases-&-shelving-units---------2-legs-and-2-castors.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Framemesh-basketsshelving-units,database/images\Bookcases-&-shelving-units---------Framemesh-basketsshelving-units----------99x51x173-cm.jpg,"It can be difficult to keep things neat and tidy. JONAXEL storage system lets you utilise the spaces you have in smarter ways. You can build a combination that fits exactly your needs and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Handle,database/images\Bookcases-&-shelving-units---------Handle----------112-mm.jpg,Knobs and handles are like icing on the cake – that small detail that makes a big difference. ENERYDA series offers different forms and colours - all with a traditional character and long-lasting design.,Modern
Bookcases-shelving-units,3-sectionsshelves,database/images\Bookcases-&-shelving-units---------3-sectionsshelves----------259x30x179-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Knob,database/images\Bookcases-&-shelving-units---------Knob----------35-mm.jpg,Knobs and handles are like icing on the cake – that small detail that makes a big difference. ENERYDA series offers different forms and colours - all with a traditional character and long-lasting design.,Modern
Bookcases-shelving-units,Frame,database/images\Bookcases-&-shelving-units---------Frame----------120x40x64-cm.jpg,"A simple frame can be the start of something great. Place on the floor or wall-mount with suspension rails. Add units, organise with shelves or put on legs. The possibilities for good storage are endless.",Scandinavian
Bookcases-shelving-units,2-sectionsshelves,database/images\Bookcases-&-shelving-units---------2-sectionsshelves----------134x50x179-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Frame-with-wire-basketscastors,database/images\Bookcases-&-shelving-units---------Frame-with-wire-basketscastors----------25x51x73-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,2-sectionsshelves,database/images\Bookcases-&-shelving-units---------2-sectionsshelves----------174x50x124-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Storage-combination-with-doors,database/images\Bookcases-&-shelving-units---------Storage-combination-with-doors----------120x42x202-cm.jpg,Things that tend to get cluttered can be placed out of sight while your favourite objects can be showcased on open shelves. A storage-and-display solution is practical and tells a story about yourself.,Modern
Bookcases-shelving-units,Shelf,database/images\Bookcases-&-shelving-units---------Shelf----------84x54-cm.jpg,"Heavy-duty, our way – a sturdy storage system that withstands moisture, dirt and heavy loads. Also easy to assemble, complete as needed and fits everywhere thanks to its clean design.",Scandinavian
Bookcases-shelving-units,Shelving-unit-with-cabinet,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-cabinet----------85x40x190-cm.jpg,"This storage system is our interpretation of heavy metal – sturdy, durable and flexible. Also easy to assemble, complete as needed and is robust enough to withstand moisture, dirt and heavy loads.",Modern
Bookcases-shelving-units,2-sectionsshelves,database/images\Bookcases-&-shelving-units---------2-sectionsshelves----------174x30x124-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,Shelving-unit-with-clothes-rail,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-clothes-rail----------99x51x173-cm.jpg,"It can be difficult to keep things neat and tidy. JONAXEL storage system lets you utilise the spaces you have in smarter ways. You can build a combination that fits exactly your needs and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Framewire-basketsclothes-rails,database/images\Bookcases-&-shelving-units---------Framewire-basketsclothes-rails----------99x51x173-cm.jpg,"It can be difficult to keep things neat and tidy. JONAXEL storage system lets you utilise the spaces you have in smarter ways. You can build a combination that fits exactly your needs and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Trolley,database/images\Bookcases-&-shelving-units---------Trolley----------85x55-cm.jpg,"Heavy-duty, our way – a sturdy storage system that withstands moisture, dirt and heavy loads. Also easy to assemble, complete as needed and fits everywhere thanks to its clean design.",Scandinavian
Bookcases-shelving-units,Shelving-unit,database/images\Bookcases-&-shelving-units---------Shelving-unit----------85x55x110-cm.jpg,"This storage system is our interpretation of heavy metal – sturdy, durable and flexible. Also easy to assemble, complete as needed and is robust enough to withstand moisture, dirt and heavy loads.",Modern
Bookcases-shelving-units,Knob,database/images\Bookcases-&-shelving-units---------Knob----------15-mm.jpg,"Knobs and handles are like icing on the cake – that small detail that makes a big difference. HACKÅS knobs and handles are smooth to the touch and easy to grip, and give your home a fresh, modern look.",Contemporary
Bookcases-shelving-units,Handle,database/images\Bookcases-&-shelving-units---------Handle----------100-mm.jpg,"Knobs and handles are like icing on the cake – that small detail that makes a big difference. HACKÅS knobs and handles are smooth to the touch and easy to grip, and give your home a fresh, modern look.",Contemporary
Bookcases-shelving-units,Frame,database/images\Bookcases-&-shelving-units---------Frame----------60x40x38-cm.jpg,"A simple frame can be the start of something great. Place on the floor or wall-mount with a suspension rail. Add units, organise with shelves or put on legs. The possibilities for good storage are endless.",Scandinavian
Bookcases-shelving-units,Frame,database/images\Bookcases-&-shelving-units---------Frame----------60x40x192-cm.jpg,"A simple frame can be the start of something great. Complemented with more units, organise with shelves or put on legs. The possibilities for good storage are endless.",Scandinavian
Bookcases-shelving-units,Side-unit,database/images\Bookcases-&-shelving-units---------Side-unit----------30x124-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,3-sectionsshelves,database/images\Bookcases-&-shelving-units---------3-sectionsshelves----------230x50x171-cm.jpg,"HEJNE storage system is sturdy and strong enough for even the heaviest loads in your garage, basement or attic. Keep the solid wood untreated or stain, paint or wax as you like, to make it more personal.",Modern
Bookcases-shelving-units,Frame,database/images\Bookcases-&-shelving-units---------Frame----------60x40x64-cm.jpg,"A simple frame can be the start of something great. Place on the floor or wall-mount with a suspension rail. Add units, organise with shelves or put on legs. The possibilities for good storage are endless.",Scandinavian
Bookcases-shelving-units,Shelving-unit-with-4-inserts,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-4-inserts----------147x147-cm.jpg,Place this generous KALLAX combination against the wall or place it to serve as a room divider. The handy inserts hide things that tend to get cluttered and are nicely finished on both sides.,Modern
Bookcases-shelving-units,Shelving-unit-with-2-cabinets,database/images\Bookcases-&-shelving-units---------Shelving-unit-with-2-cabinets----------171x37-cm.jpg,"A practical storage solution with open shelves for garden tools and plant pots. It also has spacious cabinets where you can store cushions or other things that you want to protect from sun, rain and dirt",Modern
Bookcases-shelving-units,Frame,database/images\Bookcases-&-shelving-units---------Frame----------50x51x70-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Drawer-frame,database/images\Bookcases-&-shelving-units---------Drawer-frame----------60x25x40-cm.jpg,"Remote controls, ear plugs and books. BESTÅ drawer frame creates space for both small stuff and bigger things. If you complete with inserts, your drawers will be organised too.",Modern
Bookcases-shelving-units,4-sectionsshelves,database/images\Bookcases-&-shelving-units---------4-sectionsshelves----------179x50x179-cm.jpg,"Since IVAR storage system is so good at what it does, it has faithfully served customers’ needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms – they all love IVAR.",Modern
Bookcases-shelving-units,TV-bench,database/images\Bookcases-&-shelving-units---------TV-bench----------180x40x64-cm.jpg,"A simple frame can be the start of something great. Place this TV bench on the floor or put it on legs. Add units, organise with shelves, drawers or doors. The possibilities are endless.",Scandinavian
Bookcases-shelving-units,Handle,database/images\Bookcases-&-shelving-units---------Handle----------143-mm.jpg,"Knobs and handles are like icing on the cake – that small detail that makes a big difference. The BAGGANÄS series offers a timeless, clean look that complements both modern and traditional style homes.",Traditional
Bookcases-shelving-units,Shelving-unit-inoutdoor,database/images\Bookcases-&-shelving-units---------Shelving-unit-inoutdoor----------80x35x162-cm.jpg,Suitable for both indoor and outdoor use.,Modern
Bookcases-shelving-units,Frame-with-wire-baskets,database/images\Bookcases-&-shelving-units---------Frame-with-wire-baskets----------50x51x70-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Doordrawer-front,database/images\Bookcases-&-shelving-units---------Doordrawer-front----------60x38-cm.jpg,"SELSVIKEN white front has a sleek, simple design with a high-gloss surface that's durable and easy to clean. It adds a fresh and modern look to your storage. Complement with GLASSVIK glass doors.",Minimalist
